MINI,Cooper,2007,2T1BURHE8EC881027,Yellow,Automatic
Mercedes-Benz,E-Class,2007,1NXBU4EE2AZ110580,Puce,Manual
Hyundai,Veracruz,2009,JN1AZ4EH6FM858576,Crimson,Manual
Nissan,Altima,2008,1G6DK5EDXB0425204,Yellow,Manual
Lexus,GS,2002,3VW507AT4FM278426,Purple,Manual
Mazda,626,2000,WA1AY74L99D089559,Indigo,Automatic
Pontiac,Grand Prix,2006,WAUFFAFL6AN977127,Indigo,Manual
Infiniti,Q,2004,4T1BK3DB6BU323735,Red,Manual
Ford,Explorer Sport,2000,1FA6P8AM3F5385528,Red,Manual
Toyota,Corolla,2006,1G6DL5EV0A0065848,Turquoise,Automatic
Suzuki,Grand Vitara,2007,4JGDF2EE8EA782822,Maroon,Automatic
Ford,Explorer,2005,WAUKF78E85A992810,Violet,Automatic
BMW,550,2006,WDCGG5GB0CF518684,Aquamarine,Manual
Audi,S8,2007,1D4PU4GKXAW741159,Crimson,Manual
Spyker,C8 Laviolette,2004,WBAEP33494P701017,Khaki,Manual
Ford,Econoline E150,2001,1G6DV5EP1A0124241,Orange,Automatic
Ford,Expedition,2003,1G6AB5SA7E0688347,Fuscia,Automatic
Nissan,Sentra,2001,JH4CL95978C055859,Maroon,Automatic
Hummer,H2,2008,TRUTC28NX31053745,Teal,Automatic
Toyota,RAV4,2007,ZHWGU5AU8CL929817,Violet,Automatic
Saab,9-3,2003,3C6JD6AK8CG299109,Aquamarine,Manual
Ford,Explorer,2002,1G6AC1RX0F0896734,Violet,Manual
Honda,Insight,2010,WAUAFAFL3CA509120,Turquoise,Automatic
Lincoln,MKX,2010,1N6AD0CU5CC294227,Yellow,Automatic
Toyota,Matrix,2005,2D4RN5DG6BR978463,Red,Automatic
Ford,F350,2007,JH4NA12684T032949,Aquamarine,Automatic
Mercedes-Benz,Sprinter,2010,1G6DW677X50487417,Maroon,Automatic
Kia,Optima,2009,2C3CCAXJ4DH596910,Orange,Automatic
Nissan,Xterra,2004,WAUUL78E55A906158,Indigo,Manual
Saturn,Ion,2004,3FAHP0DC7AR840092,Green,Automatic
Nissan,Altima,2005,SCFFDABE0CG255192,Blue,Manual
GMC,Yukon XL 2500,2006,3C3CFFHH5FT253484,Indigo,Manual
Ford,Excursion,2003,KL4CJDSB1EB685552,Yellow,Manual
Mercury,Cougar,2002,WDDGF4HB1DA229318,Yellow,Manual
GMC,Savana Cargo Van,2006,YV1672MC1BJ202665,Red,Automatic
Cadillac,CTS,2004,1HGCP2E78AA476939,Maroon,Automatic
Ford,Explorer,2003,1G6KD57Y96U061521,Khaki,Manual
Ford,E250,2009,3VWF17AT1FM295024,Orange,Automatic
Isuzu,Ascender,2007,2G4WE587971296947,Crimson,Manual
Kia,Sportage,2010,WA1AM74L09D752500,Crimson,Automatic
Mercedes-Benz,S-Class,2000,JM1CW2BLXC0000946,Violet,Manual
Porsche,911,2010,KMHTC6AD0EU826786,Blue,Manual
Lincoln,Navigator L,2007,WAUJGAFC9DN018896,Green,Automatic
Jaguar,XJ Series,2001,WAULFAFR7BA960000,Violet,Automatic
Kia,Carens,2007,3C3CFFFH1DT585647,Blue,Manual
Dodge,Caliber,2009,1D7RW7GP3AS054020,Red,Automatic
Mercedes-Benz,CL-Class,2006,WDDJK7DAXEF448587,Purple,Manual
Subaru,Outback,2000,1G6DP8ED2B0528393,Yellow,Automatic
Chevrolet,Tahoe,2001,WBAEN33432P754427,Red,Automatic
Audi,A8,2001,WAUHF78P98A933832,Crimson,Automatic
Volvo,S40,2005,WBAVB73537V110857,Yellow,Manual
BMW,M5,2001,4T1BD1EBXDU721756,Maroon,Automatic
Chevrolet,Equinox,2006,1G6AM5S35D0456954,Indigo,Automatic
Honda,Fit,2007,1GYFK56259R330911,Pink,Automatic
Volvo,S80,2009,WBALM7C55EE737848,Green,Manual
Dodge,Sprinter,2008,3D7LT2ET0AG260422,Khaki,Automatic
Scion,tC,2007,WBAPH7C57BE342488,Mauv,Automatic
Ford,Mustang,2004,1C3CCBBB3CN041314,Green,Manual
Saab,9-5,2008,19UUA9E51DA886614,Yellow,Manual
Infiniti,FX,2007,JN1AZ4EH3FM031585,Pink,Automatic
Mercedes-Benz,C-Class,2008,2G4WY55J721125968,Fuscia,Manual
GMC,Sierra 2500,2006,1G4GB5GR8CF601342,Goldenrod,Automatic
Nissan,Frontier,2000,SCFHDDAT2EG788187,Fuscia,Automatic
Hyundai,Sonata,2003,WBANN73526B830481,Red,Automatic
Oldsmobile,Silhouette,2002,WVWAA7AH5AV138961,Mauv,Manual
Bentley,Azure,2009,WDDUG7JB3EA679176,Indigo,Manual
Maybach,57,2004,1FAHP3EN4BW689468,Purple,Manual
Saab,9-3,2010,1GYS4JEF3CR407482,Blue,Automatic
Lotus,Exige,2006,1G6AF5SX1D0616101,Puce,Automatic
Aston Martin,DB9,2008,WAUWMAFC6EN646172,Fuscia,Manual
Infiniti,Q,2003,1D7CW3BK6AS006604,Fuscia,Automatic
Chevrolet,S10,2002,1G6AB5S30D0848925,Turquoise,Manual
Mitsubishi,Pajero,2002,WBAWC735X8E509753,Goldenrod,Automatic
Nissan,Sentra,2004,WAUJT54B02N859189,Goldenrod,Manual
Saturn,VUE,2009,3N1AB7AP7FL236629,Mauv,Manual
Mercury,Sable,2009,1FAHP2DW0AG346993,Yellow,Manual
Mitsubishi,Eclipse,2001,WBAYF4C50ED405742,Pink,Manual
Ford,F250,2006,WAU4FBFL3CA944402,Pink,Automatic
Toyota,Prius,2007,3N1CN7AP0EL664332,Violet,Automatic
Volkswagen,R32,2008,1FTWW3DYXAE799460,Indigo,Automatic
Lexus,LX,2003,4USBT33575L680505,Yellow,Automatic
Mazda,Miata MX-5,2008,5UXKR2C58F0475162,Red,Automatic
Pontiac,G5,2007,JA32X8HW1DU812383,Teal,Automatic
Toyota,Avalon,2003,5FPYK1F56EB180798,Maroon,Manual
Chevrolet,Blazer,2002,WDCYC7DF1FX061305,Purple,Automatic
Buick,Lucerne,2009,WDCYC3HF1DX843698,Yellow,Manual
Mazda,Tribute,2002,5N1CL0MM9EC390387,Violet,Manual
Kia,Amanti,2009,1FTEX1CM3BF543720,Purple,Automatic
Maybach,57,2005,4A31K3DT1BE721273,Blue,Automatic
Toyota,Land Cruiser,2006,KM8JT3AB8CU687234,Orange,Automatic
Chevrolet,Colorado,2007,WAUEH98E06A676693,Turquoise,Automatic
Cadillac,CTS,2005,SCBFR7ZA9CC951811,Khaki,Automatic
Honda,CR-V,2000,2C4RDGDG4FR792289,Puce,Manual
BMW,X5,2004,5N1AA0NC1FN001959,Green,Automatic
Mercury,Monterey,2005,WBA6B4C5XDD824148,Puce,Automatic
Audi,S6,2003,KMHGH4JF4BU099091,Aquamarine,Manual
Mercury,Milan,2006,1G6AZ5S39E0307479,Blue,Automatic
Mitsubishi,Diamante,2004,SALCR2BG9FH956279,Goldenrod,Automatic
Ferrari,612 Scaglietti,2010,1G6AZ5SX4F0670423,Orange,Manual
Chrysler,Crossfire Roadster,2006,5GAKVBED1BJ920493,Violet,Manual
Toyota,Sienna,2000,1N4AL3AP0EC757579,Turquoise,Manual
Chevrolet,Express 2500,2010,4A31K5DF2CE341513,Khaki,Manual
Audi,S6,2003,1GYS3UKJ2FR604287,Yellow,Manual
Lincoln,Navigator,2006,JH4KC1F30EC570009,Orange,Automatic
Land Rover,Range Rover,2010,WAUEKBFB8AN207905,Teal,Manual
Pontiac,G5,2009,SCBCR63WX5C354624,Turquoise,Manual
Maybach,57,2004,JTDKN3DP3C3969166,Crimson,Automatic
